1000 200000
579 230 713
827 857 528
703 107 754
143 20 795
449 907 745
842 110 612
764 668 504
452 530 856
789 450 885
392 130 658
853 975 294
877 777 947
754 916 978
432 592 166
5 849 216
965 538 559
625 209 422
173 82 627
10 267 364
906 754 485
296 879 18
617 392 646
23 679 758
541 116 717
790 70 826
583 221 116
366 931 267
54 359 439
698 805 9
23 898 195
361 426 689
204 254 201
698 45 352
579 779 880
727 271 902
703 753 117
801 917 239
888 373 177
493 686 538
326 367 477
830 890 346
157 974 487
443 715 742
82 625 334
994 702 124
633 52 234
547 703 359
330 466 761
85 646 731
484 970 509
652 972 797
343 837 316
799 870 214
805 220 338
985 899 248
757 414 959
41 73 242
448 85 377
555 21 233
561 628 651
399 882 888
677 892 984
832 3 883
75 688 775
932 158 252
100 400 566
400 858 630
659 316 394
497 140 493
109 193 200
598 490 785
510 618 525
89 506 182
902 178 526
811 20 547
585 893 187
823 16 409
721 297 597
844 670 197
461 31 752
549 729 426
383 403 864
52 28 845
989 867 74
823 677 925
208 634 33
661 611 888
451 270 31
226 8 302
318 256 589
272 526 874
577 579 440
262 50 617
413 167 849
644 234 396
645 119 916
746 2 230
785 308 867
203 164 324
827 296 873
231 357 44
86 789 197
248 914 651
380 248 206
723 95 956
500 878 482
937 193 613
512 276 662
779 77 942
758 333 735
217 291 963
949 242 70
411 715 418
992 307 539
511 279 738
493 575 60
772 48 20
247 357 170
928 364 777
975 76 725
387 468 216
687 185 151
404 420 252
226 25 53
918 506 469
65 737 993
416 996 785
224 764 217
827 589 807
916 237 715
101 83 382
301 897 707
351 293 846
175 304 178
688 359 895
824 532 31
23 740 382
31 772 298
425 408 469
872 84 673
707 813 150
895 865 529
527 389 903
179 987 796
326 536 241
555 879 541
431 390 681
61 513 100
412 403 736
657 184 955
749 676 535
860 291 968
563 900 457
63 792 511
953 966 590
736 25 511
819 493 185
56 814 91
51 59 595
505 454 257
630 968 334
709 137 442
461 393 268
930 125 200
969 761 849
746 354 88
876 21 438
943 182 766
647 596 158
732 611 508
381 201 450
620 340 510
218 138 524
207 294 887
352 884 337
582 955 151
232 307 630
410 140 815
922 638 267
571 568 698
888 157 274
815 609 521
762 409 606
306 128 462
874 299 635
505 786 945
686 121 485
791 665 187
583 747 459
261 498 385
478 33 853
125 118 224
76 610 243
379 975 87
131 401 995
465 576 156
986 161 513
451 851 418
467 257 134
318 142 38
49 574 595
284 396 541
763 117 133
650 454 873
588 889 426
293 455 827
536 377 943
567 900 503
264 813 144
856 8 977
687 46 431
364 78 979
720 204 252
945 124 238
305 256 139
440 384 16
458 259 701
259 477 539
895 273 778
682 689 558
234 430 798
957 309 909
788 891 590
441 365 485
398 806 575
49 215 282
445 26 665
306 405 427
75 588 245
909 708 98
566 812 641
14 154 883
997 5 615
716 359 273
414 214 175
781 782 141
32 480 942
167 789 739
413 103 78
255 573 22
993 732 42
280 818 733
73 922 34
640 143 315
763 39 699
589 965 176
709 582 789
676 992 697
177 621 519
368 263 568
72 527 534
174 522 29
925 705 728
69 434 23
698 444 620
318 635 971
877 23 837
175 53 58
862 187 561
83 218 589
623 305 864
450 860 629
645 104 450
365 838 994
191 898 876
370 643 904
688 740 495
583 970 442
598 317 402
880 574 104
685 555 188
200 686 397
243 211 494
467 984 514
882 883 889
659 542 763
66 220 982
847 134 860
101 223 427
64 328 768
17 769 159
774 840 584
426 809 486
145 289 479
850 951 646
325 366 319
716 985 239
873 781 55
719 464 405
459 40 786
979 575 749
140 689 415
845 649 714
903 22 513
411 921 536
494 748 67
327 91 653
987 62 308
878 154 982
152 814 745
243 447 777
806 378 794
762 908 890
502 850 625
176 150 540
221 697 638
279 769 618
288 494 932
892 903 935
495 287 922
484 498 319
918 112 465
127 690 703
68 789 178
143 802 716
861 799 164
582 964 923
863 767 154
822 665 362
411 519 337
467 615 54
61 616 148
318 903 520
676 105 196
293 219 288
161 50 656
733 224 452
999 598 105
727 559 904
961 316 822
551 360 476
81 431 285
934 2 354
464 357 718
178 293 294
667 696 394
701 18 114
929 699 581
409 915 737
739 869 144
523 799 857
859 628 406
137 304 212
764 310 92
46 875 650
788 212 766
484 319 190
659 321 109
485 876 851
708 477 377
937 112 632
414 294 203
165 540 315
587 23 464
493 573 79
204 138 369
557 413 712
284 188 749
541 293 678
63 869 724
622 217 193
39 857 76
564 159 660
418 415 944
295 754 724
371 99 357
238 743 376
436 517 424
733 842 133
556 474 744
666 560 788
531 81 977
102 671 360
995 697 869
935 167 463
261 364 853
698 177 651
345 170 316
746 654 704
162 861 275
861 911 825
456 488 452
731 757 185
521 385 256
190 289 774
290 779 203
157 85 971
801 708 244
113 95 638
752 601 363
474 473 278
905 291 979
786 343 792
880 333 735
188 602 588
520 82 168
201 792 445
893 442 288
935 306 64
319 447 148
509 359 814
587 277 847
514 635 204
35 992 994
792 778 30
877 461 997
755 60 722
149 810 597
735 790 264
770 874 43
150 671 398
930 701 977
726 266 321
727 188 401
169 141 513
222 794 780
929 3 96
201 612 458
634 12 927
577 235 791
686 397 162
253 149 556
664 571 821
735 350 343
44 482 363
34 499 499
964 295 246
23 275 748
198 380 546
574 286 9
135 221 437
885 695 421
942 108 901
266 556 86
814 74 202
365 302 804
686 425 772
636 919 882
474 815 226
235 685 109
434 62 787
595 362 100
935 452 224
603 326 432
58 217 741
970 399 352
208 828 974
409 11 963
185 697 930
711 132 353
206 414 366
198 596 185
864 12 53
105 18 394
487 80 699
664 402 193
965 37 473
67 969 400
733 276 693
31 146 215
592 459 492
856 65 262
476 188 478
9 433 723
159 119 936
568 1000 733
158 130 681
736 304 527
118 486 417
635 448 884
797 387 886
331 228 8
156 159 577
449 394 428
880 331 392
645 559 505
431 344 697
296 44 960
900 693 144
40 550 612
443 506 855
80 788 505
41 809 456
875 274 523
571 201 206
715 207 857
796 347 710
86 98 347
645 176 356
602 686 203
904 670 39
577 55 841
824 285 136
245 412 793
800 202 342
356 794 409
757 726 546
155 988 777
212 912 269
884 449 380
825 918 563
709 470 437
862 772 893
413 771 186
584 991 778
714 211 943
679 484 280
128 954 818
554 351 675
761 321 438
445 93 327
360 935 70
279 623 501
265 715 180
286 784 739
425 97 918
880 176 917
204 320 111
821 204 753
891 724 376
594 810 352
603 892 435
859 605 560
553 71 688
568 474 78
581 677 577
195 127 700
787 654 532
620 987 607
170 587 793
954 602 787
61 383 669
257 174 467
103 364 733
800 259 887
884 842 606
152 436 676
516 133 749
656 885 788
576 33 593
622 306 22
937 396 104
640 334 319
749 903 948
36 107 928
707 322 924
900 130 930
302 896 459
432 236 312
612 520 39
43 24 266
896 791 453
681 352 991
139 625 577
122 962 445
725 472 909
60 619 872
697 278 465
126 529 214
428 876 191
497 845 211
385 251 644
518 844 227
495 498 72
272 498 904
26 651 453
78 333 815
858 188 259
992 787 311
723 396 44
678 538 538
795 241 881
935 237 149
880 317 61
609 919 212
783 588 931
44 629 423
959 381 317
859 460 635
675 451 965
164 850 843
314 629 643
288 627 691
992 84 252
190 774 544
740 594 678
685 320 978
554 902 992
266 252 913
1 375 700
169 826 487
165 13 987
756 854 90
678 354 862
19 226 394
805 204 421
956 831 124
533 657 539
892 863 704
144 518 874
957 339 858
188 615 391
692 252 171
168 519 155
30 597 679
304 295 955
345 422 79
839 102 686
348 483 502
688 794 9
704 865 437
704 653 539
250 462 573
500 278 773
701 579 53
892 856 991
993 313 655
993 925 7
899 75 451
23 725 600
699 89 910
315 206 726
667 624 537
725 261 292
1 732 513
135 841 611
909 8 29
460 439 24
321 832 141
38 715 499
34 642 220
270 787 177
2 319 303
279 131 872
518 905 745
830 391 658
194 419 278
981 441 135
622 102 589
593 411 108
15 839 285
941 804 553
282 869 450
823 909 453
202 494 820
153 894 690
381 12 551
335 944 105
50 107 402
990 411 403
997 265 816
121 319 641
244 497 239
48 338 283
5 542 314
451 325 288
434 447 899
820 655 981
175 488 838
614 804 799
700 949 451
544 471 812
160 797 527
151 514 323
830 986 725
630 199 920
466 786 640
524 868 164
127 600 502
121 993 626
109 89 804
892 450 803
552 532 642
202 303 307
248 309 718
453 545 94
274 613 413
503 266 50
160 491 31
664 400 770
838 408 325
807 613 783
792 202 284
178 924 699
719 639 366
571 752 658
158 87 220
835 146 383
293 69 445
654 109 305
252 683 684
809 919 415
239 461 753
574 509 796
465 14 967
447 40 753
853 650 583
225 46 276
70 921 144
525 394 587
662 930 143
296 2 915
278 517 940
257 631 715
234 50 995
924 293 383
554 27 165
328 570 676
42 599 409
894 138 359
254 238 433
558 603 101
997 770 424
92 331 473
436 689 470
213 287 63
376 99 160
39 922 323
238 958 77
359 557 551
472 196 149
80 490 225
192 788 348
175 969 276
223 60 515
428 236 33
28 231 650
736 129 504
687 848 87
898 154 625
991 243 654
714 272 237
619 21 373
161 301 483
549 662 380
848 663 310
406 187 475
27 135 819
30 83 986
438 532 703
898 673 614
750 206 253
506 413 688
671 497 135
658 129 548
59 969 17
768 302 804
854 422 758
420 697 227
800 714 227
354 848 331
102 338 276
926 976 809
186 834 157
880 995 533
52 911 778
252 523 960
621 499 4
857 839 145
735 298 633
433 572 460
147 927 167
757 200 704
63 141 41
74 697 275
18 747 80
852 564 857
589 3 945
958 617 485
272 484 634
164 635 98
972 952 442
963 505 762
380 176 814
164 97 827
346 535 755
993 258 995
299 855 450
420 788 920
861 58 654
441 733 245
308 582 20
426 254 873
674 104 426
506 57 172
113 799 782
111 717 488
966 793 778
429 853 784
274 804 628
995 328 785
265 151 291
803 128 434
267 477 833
209 517 89
462 37 407
901 280 75
425 895 191
387 119 26
39 67 483
848 2 382
784 87 626
962 146 207
398 863 754
109 694 219
515 516 454
725 289 425
681 904 416
52 982 795
965 312 140
796 84 503
161 530 348
542 345 880
919 155 143
78 691 907
448 974 869
745 201 794
292 136 226
680 776 206
646 593 923
376 850 788
737 629 931
125 421 220
630 12 694
833 555 136
691 766 971
863 944 988
141 507 506
203 434 712
863 606 707
294 234 967
699 427 712
201 9 963
311 352 912
143 709 135
444 132 993
984 467 629
835 464 974
1000 468 534
762 913 800
637 718 533
936 959 611
323 129 757
968 687 294
521 228 695
226 719 865
773 929 109
876 428 900
171 234 427
295 146 686
134 104 871
159 657 81
324 428 249
813 623 377
145 755 297
258 832 256
180 840 416
544 755 615
236 532 461
566 222 526
72 874 408
203 468 501
577 468 650
834 138 593
665 517 454
759 723 165
66 221 99
88 323 398
202 56 462
380 565 133
718 646 794
767 405 866
804 119 919
51 61 109
536 634 680
988 864 619
416 734 274
652 932 119
227 402 69
630 799 31
309 518 656
673 720 786
82 163 561
872 390 671
646 550 636
22 228 482
899 977 555
179 352 671
430 664 630
428 443 660
247 558 43
760 113 793
65 121 608
184 270 958
438 935 414
61 685 270
374 145 187
152 386 330
262 647 549
866 53 213
930 649 890
172 327 198
478 274 544
535 441 71
220 84 850
660 966 469
971 553 888
360 599 584
757 693 128
347 751 838
467 91 29
345 861 43
564 934 599
620 952 686
781 529 771
23 998 333
129 206 621
876 218 766
465 965 169
327 79 127
372 732 292
167 704 247
815 10 874
387 626 221
861 92 437
474 127 190
613 670 658
3 521 82
368 894 282
180 860 590
474 291 974
79 68 352
916 382 209
28 514 987
442 427 270
619 624 918
361 883 710
612 757 523
56 810 515
92 7 919
948 294 736
107 693 717
801 686 360
161 701 895
508 157 876
770 341 404
878 52 748
463 79 47
711 304 711
539 882 753
483 200 861
129 808 196
16 309 277
92 8 709
173 671 130
534 671 802
802 97 881
508 895 903
373 967 363
121 493 518
662 190 928
942 989 961
275 500 51
553 998 545
479 608 679
944 907 83
904 828 661
127 241 734
987 568 786
12 197 334
399 826 789
503 251 815
712 869 78
580 91 825
267 489 611
37 13 507
824 529 464
372 156 392
584 302 476
955 501 603
298 852 511
688 489 269
95 924 153
186 553 801
407 888 35
285 440 506
635 537 752
594 679 151
145 634 685
500 46 821
73 101 952
838 520 598
745 563 553
11 510 671
458 662 443
189 124 247
361 918 212
221 109 940
779 889 614
210 843 782
228 456 558
765 954 419
370 215 617
136 48 550
203 131 797
253 451 261
121 663 237
823 419 23
406 653 105
158 672 299
316 638 274
286 344 694
628 218 624
856 393 703
989 856 60
643 11 419
549 306 925
259 618 662
969 674 765
541 180 10
934 27 145
663 549 994
196 791 158
720 533 835
798 625 15
390 937 689
234 243 747
413 715 795
333 958 23
121 38 122
894 151 59
151 749 519
369 84 411
752 592 123
479 509 635
533 814 794
718 965 639
458 489 480
72 424 458
425 96 891
904 270 597
400 303 246
917 104 887
570 120 939
5 475 389
892 447 838
736 29 478
129 509 368
87 797 177
120 82 910
881 262 492
588 398 583
200 742 448
55 140 634
121 325 194
146 642 198
450 686 221
431 298 231
592 318 459
204 235 103
540 87 744
635 318 555
412 853 318
175 443 834
596 160 547
343 222 643
219 546 572
979 488 662
145 590 896
454 491 922
12 155 804
744 967 185
385 450 904
646 599 18
976 902 327
601 667 370
590 158 586
31 675 151
880 898 81
121 385 786
590 86 222
345 73 473
215 211 290
238 614 176
494 851 695
461 889 655
128 132 612
798 790 730
911 723 147
806 183 788
985 885 136
617 685 386
694 965 632
456 448 983
726 445 633
340 304 46
583 417 200
373 214 930
698 490 499
743 33 308
595 493 308
308 628 509
909 129 655
501 240 201
501 223 705
45 558 265
532 350 390
350 331 244
406 259 590
900 730 230
63 731 64
637 62 495
105 401 961
103 599 595
369 276 2
747 859 357
911 492 603
490 664 772
329 820 112
836 561 935
715 471 404
568 337 286
94 859 647
681 98 36
995 335 859
935 836 953
682 749 599
387 983 116
936 414 869
191 803 876
823 314 243
168 525 274
215 921 569
652 167 111
999 794 486
940 139 488
478 693 345
257 739 373
989 120 653
104 838 333
508 185 282
859 216 784
946 193 749
677 886 609
99 777 746
781 353 714
225 375 889
452 658 783
143 546 320
927 242 781
61 118 164
547 197 166
87 248 899
469 873 53
858 219 974
704 594 30
712 882 352
763 755 316
943 236 388
50 19 115
34 157 535
607 911 544
768 926 728
266 355 451
242 293 530
903 114 661
422 711 928
490 309 228
168 483 238
878 626 876
249 99 595
162 605 968
143 146 435
606 56 992
744 809 45
434 665 543
485 694 750
417 907 153
601 167 29
872 295 133
113 195 279
697 118 208
466 322 750
553 217 493
46 484 942
974 905 581
355 329 949
192 932 324
215 472 666
853 927 572
144 192 223
640 512 25
918 332 684
919 803 147
721 858 699
664 868 949
472 931 224
918 34 680
932 94 854
525 902 953
350 835 873
333 612 335
793 982 86
244 913 737
567 936 231
437 126 329
560 205 460
961 738 174
692 898 788
287 698 272
787 357 987
11 750 432
799 625 310
240 442 221
10 961 920
210 775 227
875 720 497
348 390 817
373 597 292
195 718 384
783 880 883
740 533 644
454 421 158
208 161 871
667 649 998
192 546 897
990 94 303
162 874 894
813 701 965
917 700 850
91 956 989
633 433 654
588 836 272
733 622 878
637 414 6
455 966 685
919 59 227
276 180 517
166 431 54
485 316 471
807 30 359
836 615 993
703 368 657
364 577 302
828 716 856
725 890 218
996 941 573
891 255 920
393 229 417
228 186 969
914 893 730
941 816 160
829 479 162
90 680 479
136 771 913
474 758 648
54 956 582
834 464 224
438 779 800
830 379 473
439 472 145
130 354 787
706 93 148
901 319 768
163 393 711
293 716 971
980 702 607
93 219 939
154 3 196
182 1 689
61 753 473
905 570 706
723 827 667
413 830 992
411 633 776
515 17 625
871 643 945
42 651 537
911 399 573
840 376 719
426 40 260
713 212 153
434 285 664
143 677 993
426 128 706
768 528 42
681 632 613
920 588 321
355 146 749
905 713 507
694 159 148
797 992 759
183 88 276
134 707 41
641 931 798
659 909 41
653 688 878
681 281 176
502 235 787
342 237 438
703 172 654
531 827 36
624 65 728
568 548 441
221 594 250
65 251 335
225 397 356
433 261 814
227 825 929
354 179 297
768 659 346
165 558 98
601 749 174
33 935 578
885 177 126
983 76 285
850 621 848
794 607 655
848 38 309
860 835 74
999 763 490
618 574 711
952 843 5
749 5 455
395 73 30
160 828 162
523 505 981
412 529 101
522 657 820
525 186 913
260 897 308
676 347 821
961 775 553
315 312 41
953 23 212
492 179 153
811 167 452
742 86 527
105 653 762
477 519 929
783 789 876
942 424 773
691 310 665
377 152 700
814 855 785
5 296 202
827 812 347
207 226 211
787 152 987
528 225 285
903 392 688
510 50 686
895 750 975
857 267 69
675 573 615
331 746 935
644 332 921
227 845 662
334 42 235
533 393 179
209 25 960
135 269 555
79 459 879
453 401 427
447 649 778
936 36 445
142 507 962
760 706 547
995 374 555
821 309 151
231 74 668
130 465 270
722 661 918
38 288 943
996 473 831
883 211 405
789 926 267
625 264 69
338 75 801
707 822 232
849 672 943
510 990 852
721 623 306
389 654 925
158 882 749
776 918 517
953 346 362
515 188 698
11 1 951
721 801 374
687 680 473
849 949 482
800 904 504
428 169 489
1000 27 28
558 886 216
443 6 351
755 885 514
962 45 136
710 714 5
404 571 439
973 117 524
816 12 814
789 676 754
203 767 88
281 287 455
103 521 676
135 754 880
243 628 999
757 464 25
531 966 247
616 742 554
258 748 649
185 655 783
540 570 56
730 931 352
787 199 441
232 54 640
763 478 357
685 58 784
43 351 75
418 684 97
490 159 471
337 176 504
346 105 920
259 186 165
161 691 409
377 84 695
216 570 344
724 87 982
847 820 146
516 87 973
752 897 393
351 219 204
102 955 453
910 447 730
916 679 670
533 761 43
777 572 337
894 683 563
592 771 177
604 265 707
867 473 393
227 206 837
269 599 158
342 706 661
512 959 697
39 424 947
803 632 780
321 710 779
523 45 951
323 10 882
106 690 168
37 692 260
253 390 236
106 260 949
587 251 453
168 927 272
723 875 679
365 158 506
263 846 432
556 967 609
873 162 97
363 456 326
268 544 538
276 536 859
69 672 498
861 157 599
154 769 805
59 430 742
697 546 928
26 136 37
414 254 915
353 322 436
991 316 241
393 753 685
645 668 608
246 635 709
933 864 590
130 879 71
272 496 990
798 595 734
715 99 240
597 970 571
493 162 300
80 518 488
953 522 370
237 870 76
684 267 306
401 879 805
260 497 168
972 93 335
9 31 905
268 483 228
156 912 658
539 910 487
572 315 333
711 212 381
658 110 968
155 701 573
407 78 793
836 562 852
124 224 948
956 335 891
846 61 299
438 282 25
501 384 579
721 315 758
820 876 163
549 47 598
700 846 736
579 474 247
563 938 323
691 557 29
365 801 24
88 765 476
406 288 456
623 723 296
446 267 874
504 737 363
962 856 913
125 692 119
396 174 230
458 318 402
678 55 672
298 956 742
765 309 145
171 988 663
264 844 391
98 71 419
606 245 62
476 525 868
824 639 76
633 689 467
273 993 440
792 478 104
736 317 446
905 579 182
826 284 350
746 92 128
777 591 164
558 993 351
879 747 561
373 606 115
378 939 904
332 413 819
663 58 357
301 708 873
225 593 432
732 124 102
282 757 264
702 148 688
716 629 270
544 408 785
564 943 487
915 862 919
597 393 721
46 503 106
972 512 271
476 467 498
718 548 930
960 828 713
193 402 560
493 129 863
172 433 47
989 723 996
238 650 323
143 596 927
255 662 339
912 54 980
385 846 218
829 325 903
50 697 234
335 624 327
176 922 339
645 113 404
811 608 536
445 709 662
858 1000 904
459 16 422
567 197 741
964 906 246
494 838 767
908 725 444
673 255 953
769 38 812
730 910 670
977 235 675
179 454 95
718 157 553
556 363 589
491 762 923
860 535 977
955 684 682
556 352 562
90 207 933
247 34 720
204 503 359
28 166 266
34 206 501
351 871 912
692 124 536
444 633 930
61 126 958
320 48 736
849 754 553
691 302 578
389 960 797
679 487 207
436 808 926
941 473 986
700 807 108
850 892 8
388 376 557
106 739 5
425 52 839
295 418 968
377 957 934
707 619 445
333 707 921
302 122 26
937 739 536
500 690 191
220 140 217
951 44 318
516 770 936
950 45 83
691 724 502
290 59 979
963 784 208
805 495 223
782 132 183
151 234 629
499 786 779
650 75 962
19 200 569
538 900 69
269 218 184
497 501 894
319 113 117
892 891 306
484 760 710
305 570 49
613 538 785
502 991 32
664 755 746
620 298 687
31 404 268
315 97 415
311 13 943
29 51 161
70 154 983
5 687 237
203 714 511
163 513 20
733 125 728
909 901 584
67 685 255
694 546 327
692 464 495
658 198 257
979 786 600
946 840 132
878 586 14
133 676 324
708 981 880
641 356 476
503 227 763
220 278 730
391 36 640
408 697 774
388 227 865
9 744 130
775 362 995
598 521 457
604 630 329
212 46 534
304 149 243
331 987 237
357 157 129
562 939 693
611 792 686
740 865 975
949 555 905
666 515 97
585 672 875
894 776 380
419 627 439
708 588 328
384 478 648
869 723 566
354 428 199
980 643 720
388 54 641
222 744 464
871 764 97
794 570 564
91 583 451
969 347 676
528 710 862
631 801 576
678 63 368
811 173 548
631 240 196
875 90 138
570 614 786
901 897 481
148 630 584
825 943 411
31 250 417
228 460 881
985 433 20
240 493 229
464 38 933
708 793 285
853 244 65
334 854 202
826 85 237
558 516 774
351 994 337
518 653 796
629 250 424
670 369 424
855 296 411
494 777 62
121 447 699
613 235 115
931 363 205
527 943 917
985 114 910
578 141 531
73 223 880
871 277 634
40 923 533
589 803 600
536 998 891
440 823 317
411 420 358
454 19 891
795 37 132
469 131 446
294 714 548
308 290 701
540 431 888
361 530 703
642 586 440
463 322 527
190 785 273
661 640 743
47 942 787
977 751 189
989 824 919
270 52 392
171 832 619
666 759 399
616 592 6
593 562 198
496 772 391
610 695 847
709 201 591
86 914 529
305 321 972
192 557 557
732 229 682
765 55 947
523 197 454
461 627 130
628 989 717
702 496 558
254 246 279
29 449 786
989 972 457
937 662 38
802 395 776
737 610 849
27 215 784
223 675 299
768 977 976
542 8 946
3 466 108
866 122 953
525 265 138
133 535 543
343 733 164
339 875 100
441 964 493
783 770 76
964 57 490
513 836 717
338 130 717
77 205 878
49 416 774
548 545 345
548 47 217
153 298 502
384 412 143
879 620 167
306 900 400
73 477 58
662 865 859
339 26 354
973 780 229
955 75 735
161 434 827
620 790 556
780 919 554
305 690 51
546 348 287
582 185 164
457 323 478
178 635 637
43 983 209
229 270 643
288 789 595
229 483 205
381 462 748
333 157 776
284 100 792
633 688 659
560 48 808
182 412 436
650 935 157
460 306 231
981 972 133
472 712 58
23 272 293
749 76 891
992 812 969
843 526 932
203 819 539
277 929 896
237 353 589
869 222 785
603 859 506
214 861 642
371 489 947
548 246 69
937 304 363
386 467 314
667 964 652
350 470 243
374 782 80
229 597 886
856 778 734
528 427 539
130 71 290
532 95 159
576 925 102
910 117 756
120 254 958
189 308 387
943 765 42
723 495 135
338 491 842
711 323 110
842 521 996
699 65 254
265 284 376
241 72 753
700 31 478
777 259 58
6 177 868
128 586 389
461 276 655
217 120 526
696 164 711
379 773 590
529 707 595
606 110 148
392 588 968
650 963 644
678 779 157
899 57 640
447 636 161
955 537 328
12 309 2
160 569 575
505 632 587
490 905 70
700 965 462
203 73 116
743 418 478
652 732 685
514 205 542
439 126 576
449 564 151
620 532 198
531 72 289
21 551 20
696 585 894
879 347 717
897 534 900
717 882 790
234 216 834
883 576 162
369 517 567
977 978 745
109 445 367
751 604 401
308 68 729
215 105 909
802 314 925
34 600 718
982 210 380
694 261 783
838 421 225
188 794 373
430 682 117
495 73 727
228 822 939
105 547 293
21 97 499
379 102 130
569 991 20
495 794 991
848 577 306
130 375 928
431 41 776
236 498 773
947 801 962
477 283 442
441 816 822
600 897 532
924 50 868
538 830 555
963 367 913
768 887 457
938 449 993
826 492 669
321 412 471
527 876 542
509 805 481
136 58 286
847 434 269
442 415 183
246 480 319
602 146 181
886 431 624
262 382 106
732 79 596
784 44 426
140 447 578
689 630 994
714 66 285
607 389 231
988 949 344
674 436 715
271 842 9
674 616 283
639 644 178
639 736 8
18 326 286
712 338 552
192 507 939
589 149 551
828 287 998
885 568 480
770 623 700
920 119 884
126 27 114
609 185 150
902 158 920
516 535 244
620 157 567
854 323 51
210 162 536
6 351 920
144 831 646
545 232 824
212 462 258
917 415 391
169 326 729
675 421 331
833 630 748
908 285 81
819 90 135
857 753 93
408 23 184
399 861 932
412 69 144
935 159 88
461 429 771
90 517 387
459 963 76
671 626 142
393 693 19
878 903 491
495 554 740
378 405 439
758 738 471
979 474 524
382 783 693
779 574 768
794 463 193
128 532 48
792 989 167
614 226 487
237 22 768
398 180 595
668 984 844
406 447 355
456 17 374
158 410 603
680 268 96
542 909 993
371 266 739
654 668 365
360 739 564
732 912 257
434 591 86
432 230 213
77 424 902
889 544 969
500 337 92
558 843 849
127 583 355
360 153 706
47 285 354
148 534 271
586 917 149
168 453 621
183 860 792
544 341 110
854 945 808
164 723 262
90 388 543
829 264 972
429 623 569
572 773 6
149 836 148
954 825 544
539 849 688
173 928 341
291 171 198
903 418 958
232 416 639
777 742 181
286 93 103
674 79 606
729 874 968
122 665 485
750 88 276
833 618 557
462 108 976
315 547 4
161 844 57
96 382 646
899 464 49
425 388 564
409 593 607
828 308 217
238 205 27
122 913 204
800 292 501
274 374 947
610 966 417
783 247 557
437 82 430
755 393 467
698 932 174
715 928 231
288 586 488
401 953 863
947 801 418
246 605 351
467 86 270
336 923 187
655 50 644
593 925 860
911 705 291
584 570 482
594 876 607
816 735 19
404 933 200
136 498 26
747 968 637
201 356 491
313 540 985
342 454 726
973 889 635
93 689 501
812 842 539
512 189 187
151 354 411
66 323 618
528 674 900
234 655 52
27 396 150
487 844 64
10 114 67
508 453 271
869 424 631
654 227 865
33 514 998
733 132 155
174 523 99
708 589 260
942 68 75
379 242 353
329 260 877
892 447 755
325 117 477
356 839 607
663 627 396
730 708 633
621 527 975
869 136 217
464 354 72
128 840 830
959 35 479
487 140 185
966 923 21
596 697 166
492 859 92
926 820 978
836 603 894
199 4 588
483 78 232
282 760 896
2 912 639
968 129 485
353 891 936
369 936 83
478 647 49
730 861 367
615 962 218
672 185 440
546 915 777
910 222 351
818 298 979
769 871 362
378 994 154
17 194 331
559 975 131
915 43 702
780 719 956
257 368 756
223 156 655
660 282 708
422 208 676
254 333 314
303 565 731
326 251 695
119 407 972
125 423 278
153 781 550
226 272 310
555 876 602
908 166 924
98 604 64
363 750 780
236 672 127
45 83 201
937 256 384
890 816 523
123 324 981
714 115 3
355 93 190
978 816 491
938 925 718
695 812 629
806 843 981
94 373 519
297 457 834
682 799 972
693 685 514
532 574 953
639 302 555
355 151 950
346 14 326
886 972 556
805 662 295
828 50 425
26 628 553
136 482 648
47 735 650
896 317 458
265 539 713
986 394 404
870 731 428
94 420 803
95 364 744
938 498 750
170 499 585
239 774 316
19 964 868
138 308 67
679 699 714
700 120 507
298 394 866
732 774 674
990 10 153
319 819 29
841 811 75
340 260 551
245 322 273
337 993 906
856 670 302
81 412 535
376 802 591
289 320 3
648 821 881
144 143 476
513 728 921
802 573 750
882 681 17
364 485 95
525 208 541
274 56 239
620 36 869
388 422 583
883 52 202
123 471 272
378 677 358
587 502 858
816 555 497
468 791 317
503 486 93
927 619 909
581 57 490
231 784 249
289 69 895
790 152 611
920 640 19
124 677 814
688 357 383
908 871 74
262 660 653
586 144 958
108 724 137
375 465 311
861 15 643
926 276 360
375 611 946
991 504 648
858 3 397
525 939 127
687 381 775
751 516 960
523 176 383
102 624 337
611 844 869
990 483 20
653 175 463
768 984 394
577 190 981
984 502 264
395 930 945
726 683 480
866 441 143
255 579 615
5 308 903
262 235 355
636 494 90
903 708 379
759 231 580
183 993 405
276 715 295
951 933 156
931 313 518
217 289 684
922 539 519
806 970 526
234 399 182
741 447 448
99 162 980
469 307 536
98 412 27
108 278 589
438 688 341
430 339 309
864 53 389
659 57 450
715 845 516
637 266 412
331 273 229
286 981 783
203 332 122
430 601 804
623 930 167
847 440 737
638 502 507
823 898 803
746 839 740
714 626 51
363 454 976
29 485 298
425 692 93
372 865 188
832 969 740
108 228 497
553 980 650
595 289 30
780 845 821
29 93 690
437 697 214
146 305 554
579 988 999
409 760 597
601 24 95
644 777 915
512 649 748
637 598 158
600 433 739
425 244 905
125 749 477
592 323 716
737 225 189
99 528 232
355 324 380
490 545 870
650 258 177
524 34 344
733 139 16
159 44 657
659 842 124
616 304 333
484 647 767
798 912 186
193 74 412
30 215 96
285 250 70
606 857 769
37 730 55
875 796 696
838 174 389
918 162 843
513 932 424
534 768 931
886 235 93
45 935 833
